Repository                                          Stars  Created at  Description                                            
----------                                          -----  ----------  -----------                                            
golang/go                                           68891  2014        The Go programming language                            
kubernetes/kubernetes                               63145  2014        Production-Grade Container Scheduling and Manageme...  
moby/moby                                           56337  2013        Moby Project - a collaborative project for the con...  
avelino/awesome-go                                  51882  2014        A curated list of awesome Go frameworks, libraries...  
gohugoio/hugo                                       41556  2013        The world’s fastest framework for building websi...    
gin-gonic/gin                                       35344  2014        Gin is a HTTP web framework written in Go (Golang)...  
astaxie/build-web-application-with-golang           33712  2012        A golang ebook intro how to build a web with golan...  
gogs/gogs                                           33254  2014        Gogs is a painless self-hosted Git service             
fatedier/frp                                        32784  2015        A fast reverse proxy to help you expose a local se...  
syncthing/syncthing                                 29938  2013        Open Source Continuous File Synchronization            
etcd-io/etcd                                        29605  2013        Distributed reliable key-value store for the most ...  
prometheus/prometheus                               29106  2012        The Prometheus monitoring system and time series d...  
containous/traefik                                  27379  2015        The Cloud Native Edge Router                           
v2ray/v2ray-core                                    27270  2015        A platform for building proxies to bypass network ...  
junegunn/fzf                                        26955  2013        :cherry_blossom: A command-line fuzzy finder           
caddyserver/caddy                                   26275  2015        Fast, cross-platform HTTP/2 web server with automa...  
ethereum/go-ethereum                                25392  2013        Official Go implementation of the Ethereum protoco...  
astaxie/beego                                       23213  2012        beego is an open-source, high-performance web fram...  
FiloSottile/mkcert                                  22823  2018        A simple zero-config tool to make locally trusted ...  
pingcap/tidb                                        22483  2015        TiDB is an open source distributed HTAP database c...  
istio/istio                                         21668  2016        Connect, secure, control, and observe services.        
hashicorp/terraform                                 20732  2014        Terraform enables you to safely and predictably cr...  
drone/drone                                         20461  2014        Drone is a Container-Native, Continuous Delivery P...  
unknwon/the-way-to-go_ZH_CN                         20275  2013        《The Way to Go》中文译本，中文正式名�...                          
minio/minio                                         20233  2015        MinIO is a high performance object storage server ...  
iikira/BaiduPCS-Go                                  19920  2017        百度网盘客户端 - Go语言编写                                       
wagoodman/dive                                      18873  2018        A tool for exploring each layer in a docker image      
rclone/rclone                                       18726  2014        "rsync for cloud storage" - Google Drive, Amazon D...  
github/hub                                          18671  2009        A command-line tool that makes git easier to use w...  
hashicorp/consul                                    18447  2013        Consul is a distributed, highly available, and dat...  
influxdata/influxdb                                 18291  2013        Scalable datastore for metrics, events, and real-t...  
go-gitea/gitea                                      18199  2016        Git with a cup of tea, painless self-hosted git se...  
inconshreveable/ngrok                               18037  2013        Introspected tunnels to localhost                      
cockroachdb/cockroach                               17764  2014        CockroachDB - the open source, cloud-native SQL da...  
mattermost/mattermost-server                        17475  2015        Open source Slack-alternative in Golang and React ...  
kataras/iris                                        17469  2016        感谢中国开发者 - https://bit.ly/謝謝 | Th...                    
kubernetes/minikube                                 17374  2016        Run Kubernetes locally                                 
nsqio/nsq                                           17166  2012        A realtime distributed messaging platform              
jinzhu/gorm                                         17119  2013        The fantastic ORM library for Golang, aims to be d...  
openfaas/faas                                       16852  2016        OpenFaaS - Serverless Functions Made Simple            
labstack/echo                                       16469  2015        High performance, minimalist Go web framework          
go-kit/kit                                          16199  2015        A standard library for microservices.                  
helm/helm                                           16166  2015        The Kubernetes Package Manager                         
yeasy/docker_practice                               16073  2014        Learn and understand Docker technologies, with rea...  
spf13/cobra                                         15724  2013        A Commander for modern Go CLI interactions             
hashicorp/vault                                     14992  2015        A tool for secrets management, encryption as a ser...  
jesseduffield/lazygit                               14467  2018        simple terminal UI for git commands                    
joewalnes/websocketd                                14384  2013        Turn any program that uses STDIN/STDOUT into a Web...  
jesseduffield/lazydocker                            14066  2019        The lazier way to manage everything docker             
sirupsen/logrus                                     13865  2013        Structured, pluggable logging for Go.                  
tsenart/vegeta                                      13817  2013        HTTP load testing tool and library. It's over 9000...  
rancher/rancher                                     13656  2014        Complete container management platform                 
yudai/gotty                                         13519  2015        Share your terminal as a web application               
go-delve/delve                                      13314  2014        Delve is a debugger for the Go programming languag...  
cayleygraph/cayley                                  13181  2014        An open-source graph database                          
golang/dep                                          13088  2016        Go dependency management tool                          
urfave/cli                                          13078  2013        A simple, fast, and fun package for building comma...  
dgraph-io/dgraph                                    12425  2015        Fast, Distributed Graph DB                             
zyedidia/micro                                      12394  2016        A modern and intuitive terminal-based text editor      
buger/goreplay                                      12254  2013        GoReplay is an open-source tool for capturing and ...  
chai2010/advanced-go-programming-book               12061  2017        :books: 《Go语言高级编程》开源图书，�...                            
